
Отбор:	Выпускающая кафедра Равно "Кафедра 305"
	
Выпускающая кафедра				
Год поступления				
УП	Статус разработки УП	Количество дисциплин	Количество дисциплин с РПД	Код УП
Лист переутверждения по "РП дисциплины "Инженерная и компьютерная графика" (специалитет)  Кожухова Е.А. (Копия 07.07.2015 13:49:07 Кожухова Е.А.)" (20, 000015430	Утвержден			
Иностранный язык-1	Кафедра И-12			
РП дисциплины "Иностранный язык-1" (очн.бак."Системы управления летательными аппаратами" каф.303), 000052465	Утвержден			
Иностранный язык-2	Кафедра И-12			
Лист переутверждения по "РП дисциплины "Иностранный язык-2" (оч.спец."Измерительно-вычислительные комплекы систем управления воздушно-космических ЛА" , 000024741	Утвержден			
Интеллектуализированные приборные комплексы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Интеллектуализированные приборные комплексы"" (2015/16), 000038580	Утвержден			
Информатика	Кафедра 304			
Лист переутверждения по "РП дисциплины "Информатика" разр.каф. 304 (24.05.06,2015/16), 000023950	Утвержден			
Информационно-статистическая теория измерений	Кафедра 305			
РП дисциплины "Информационно-статистическая теория измерений"  2015/16ИВКСУВК ЛА (Копия 09.07.2015 13:05:57 Соболев В.И.), 000025669	Утвержден			
Информационные технологии сбора и хранения данных	Кафедра 305			
Лист переутверждения по "РП дисциплины "Информационные технологии сбора и хранения данных" сп-т 24.05.06  ( каф303 Белобжеский Л.А.)" (2015/16), 000015479	Утвержден			
Искусственный интеллект и экспертные системы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Искусственный интеллект и экспертные системы" (2015/16), 000016232	Утвержден			
Испытания измерительно-управляющих комплексов и их элементов	Кафедра 308			
РП дисциплины "Испытания измерительно-управляющих комплексов и их элементов" (Копия 28.06.2018 19:20:02 Склеймин Ю.Б.), 000096392	Утвержден			
Испытания приборов и систем	Кафедра 305			
Шаблон РПД "Испытания приборов и систем", 000093654	Утвержден			
История	Кафедра 518			
РП дисциплины "История", 000040206	Утвержден			
История культуры	Кафедра 518			
РП дисциплины "История культуры", 000080907	Утвержден			
Культурология	Кафедра 518			
Лист переутверждения по "РП дисциплины "Культурология" УП очного специалитета по 24.05.06 "Измерительно-вычислительные комплекы систем управления возд, 000026057	Утвержден			
Лист переутверждения по "РП дисциплины "Культурология" УП очного специалитета по 24.05.06 "Системы управления движением летательных аппаратов"  (каф. , 000026070	Утвержден			
Линейная алгебра и аналитическая геометрия	Кафедра 804			
РП дисциплины Линейная алгебра (24.05.06, 2015/16 уч. год), 000074396	Утвержден			
Математический анализ	Кафедра 804			
Лист переутверждения по "РП дисциплины "Математический анализ" для специалитета на 10 з.е. 24.05.06 2014/15 " (2015/16), 000029937	Утвержден			
Материаловедение	Кафедра 903			
Лист переутверждения по "РП дисциплины "Материаловедение"  " (2015/16), 000045596	Утвержден			
Метрология, стандартизация и сертификация	Кафедра 305			
Лист переутверждения по "РП дисциплины "Метрология, стандартизация и сертификация"" (2015/16), 000037947	Утвержден			
Лист переутверждения по "РП дисциплины "Метрология, Стандартизация и Сертификация"" (2015/16), 000038591	Утвержден			
Микропроцессорная техника в приборах, системах и комплексах	Кафедра 305			
Лист переутверждения по "РП дисциплины "Микропроцессорная техника в приборах, системах и комплексах" (Копия 15.07.2015 20:05:32 Ушаков А.Н.)" (2015/16, 000016182	Утвержден			
Моделирование систем	Кафедра 305			
РП дисциплины "Моделирование систем" (Копия 01.08.2012 15:37:31 Костюков В.М.) (Копия 9/21/2015 6:20:21 PM Костюков В.М.) (Копия 9/21/2015 11:11:13 PM, 000028343	Утвержден			
Моделирование, идентификация и оптимизация	Кафедра 305			
РП дисциплины "Моделирование, идентификация и оптимизация" (Копия 01.08.2012 15:55:03 Костюков В.М.) (Копия 9/24/2015 12:02:20 AM Костюков В.М.) (Копи, 000028512	Утвержден			
Надёжность измерительно-вычислительных комплексов	Кафедра 305			
РП дисциплины "Надёжность измерительно-вычислительных комплексов" каф.303 спец.24.05.06.С13 (2015/16), 000078152	Утвержден			
Основы автоматизированного проектирования	Кафедра 305			
РП дисциплины "Основы автоматизированного проектирования", 000092407	Утвержден			
Основы конструирования приборов	Кафедра 906			
РП дисциплины "Основы конструирования приборов" (очного специалитета по 161101) (Копия 12.12.2015 17:18:45 Невчеснюк Л.А.) (Копия 21.11.2017 13:49:47 , 000063409	Утвержден			
Основы менеджмента	Кафедра 315			
РП дисциплины "Основы менеджмента" 26.05.06 (2015/16)  каф. 506, 000034980	Утвержден			
Основы прикладной гидро- и аэродинамики	Кафедра 602			
Лист переутверждения по "РП дисциплины "Основы прикладной гидро- и аэродинамики" " (2015/16), 000016001	Утвержден			
Основы теории пилотажно-навигационных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы теории пилотажно-навигационных систем"" (2015/16), 000015719	Утвержден			
Основы теории управления	Кафедра 301			
Лист переутверждения по "РП дисциплины "Основы теории управления"" (2015/16), 000019248	Утвержден			
Политика и право	Кафедра 517			
Лист переутверждения по "РП дисциплины "Политика и право"    " (2015/16), 000019368	Утвержден			
Политология	Кафедра 517			
Лист переутверждения по "РП дисциплины "Политология"  " (2015/16), 000019366	Утвержден			
Правоведение	Кафедра 003			
Лист переутверждения по "РП дисциплины "Правоведение"  " (2015/16), 000019367	Утвержден			
Преддипломная практика	Кафедра 305			
РП практики "Преддипломная практика" (Копия 28.03.2018 12:26:27 Ушаков А.Н.), 000074918	Утвержден			
Приборы и датчики высотно- скоростных параметров	Кафедра 305			
РП дисциплины "Приборы и датчики высотно- скоростных параметров"  13.10.2015 20:01:50 Захарян Р.Р.), 000055040	Утвержден			
Приборы и измерительно-вычислительные комплексы систем управления летательных аппаратов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Приборы и измерительно-вычислительные комплексы систем управления летательных аппаратов" каф.303, спец.161101., 000016238	Утвержден			
Проектирование приборных комплексов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Проектирование приборных комплексов" , кафедра 303" (2015/16), 000026153	Утвержден			
Производственная практика	Кафедра 303			
РП практики "Производственная практика" , 000028711	Утвержден			
Производственно-технологическая практика	Кафедра 305			
РП практики "Производственно-технологическая практика", 000095112	Утвержден			
Резервирование технических систем	Кафедра 305			
РП дисциплины "Резервирование технических систем" каф.303 спец.24.05.06.С13 (2015/16), 000078155	Утвержден			
Системы автоматического управления воздушными летательными аппаратами	Кафедра 301			
Лист переутверждения по "РП дисциплины "Системы автоматического управления воздушными летательными аппаратами"" (2015/16), 000023215	Утвержден			
Системы автоматического управления космическими летательными аппаратами	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы автоматического управления космическими летательными аппаратами" " (2015/16), 000032040	Утвержден			
Системы отображения информации систем управления ЛА	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы отбражения информации систем управления летательных аппаратов"  по 24.05.06  каф 303 (Белобжеский Л.А., 000015477	Отправлен на доработку			
РП дисциплины "Системы отбражения информации систем управления летательных аппаратов"  по 24.05.06  каф 305 (Белобжеский Л.А.) 15/16, 000075547	Утвержден			
Случайные процессы и статистические технологии	Кафедра 304			
РП дисциплины "Случайные процессы и статистические технологии", 000082866	Утвержден			
Социология	Кафедра 009			
Лист переутверждения по "РП дисциплины "Социология" (очная) (Копия 16.07.2015 12:38:54 Царицинская Т.Г.) (Копия 25.08.2015 14:17:52 Царицинская Т.Г.) , 000016035	Утвержден			
РП дисциплины "Социология" (очная), 000034411	Утвержден			
Специальные технологии 1 (обработка изображений)	Кафедра 305			
РП дисциплины "Специальные технологии 1 (обработка изображений)", 000026611	Утвержден			
Специальные технологии 2 (моделирование газовых сред)	Кафедра 305			
РП дисциплины "Специальные технологии 2 (моделирование газовых сред)", 000028319	Утвержден			
Теоретическая механика	Кафедра 802			
Лист переутверждения по "РП дисциплины "Теоретическая механика" очного специалитета по 24.05.06 (2014/15)" (2015/16), 000033379	Утвержден			
Теоретические основы электротехники и электроизмерений	Кафедра 309			
Лист переутверждения по "РП дисциплины "Теоретические основы электротехники и электроизмерений" (Копия 22.12.2012 15:58:10 Ковзан А.А.) (Копия 20.01.2, 000019223	Утвержден			
Теория вероятностей и математическая статистика	Кафедра 302			
Лист переутверждения по "РП дисциплины "Теория вероятностей и математическая статистика"" (2015/16), 000021355	Утвержден			
Теория случайных процессов	Кафедра 304			
РП дисциплины "Теория случайных процессов", 000082857	Утвержден			
Теория функций комплексного переменного	Кафедра 804			
Лист переутверждения по "РП дисциплины "Теория функций комплексного переменного", 3 з.е. 24.05.06. 2014/15" (2015/16), 000030467	Утвержден			
Технология приборостроения	Кафедра 307			
РП дисциплины "Технология приборостроения" (Копия 01.04.2016 13:41:11 Хайрнасов К.З.), 000035379	Утвержден			
УИРС	Кафедра 305			
РП дисциплины "УИРС" 2015/16 (каф.305, оч. спец-т 24.05.06) (Белобжеский Л.А.) , 000095443	Утвержден			
Учебная практика	Кафедра 303			
РП практики Учебная практика (каф.303, очн спец-т 24.05.06.С15. Белобжеский Л.А.) 2015/16, 000026311	Утвержден			
Физика	Кафедра 801			
РП дисциплины "Физика" (специалитет 24.05.06)  , 000068847	Утвержден			
Физическая культура (спортивные секции)	Кафедра 519			
Лист переутверждения по "РП дисциплины "Физическая культура"" (2015/16), 000048390	Утвержден			
Физические методы получения информации	Кафедра 303			
РП дисциплины "Физические методы получения информации" (Копия 03.05.2017 17:23:41 Захарян Р.Р.), 000055038	Утвержден			
Философия	Кафедра 517			
Лист переутверждения по "РП дисциплины "Философия"  очного специалитета по 24.05.06 "Системы управления движением летательных аппаратов"  (каф. 301)" , 000018635	Утвержден			
Химия	Кафедра 908			
Лист переутверждения по "РП дисциплины "Химия" очного специалитета по 24.05.06 (2014/15)" (2015/16), 000017028	Утвержден			
РП дисциплины "Химия" очного специалитета по 24.05.06  "Измерительно-вычислительные комплекы систем управления воздушно-космических ЛА" (с поправками), 000036578	Утвержден			
Цифровые сети систем управления летательных аппаратов	Кафедра 305			
РП дисциплины "Цифровые сети систем управления летательных аппаратов" (Копия 01.08.2012 15:50:42 Костюков В.М.) (Копия 9/22/2015 11:08:06 AM Костюков , 000028361	Утвержден			
Численные методы	Кафедра 804			
Лист переутверждения по "РП дисциплины "Численные методы" для бакалавриата по направлению 24.05.06 2014/15" (2015/16), 000029869	Утвержден			
Экология	Кафедра 301			
Лист переутверждения по "РП дисциплины "Экология" (очн. спец. 24.05.06 каф. 301)" (2015/16), 000014237	Утвержден			
Экономика	Кафедра 507			
РП дисциплины "Экономика" (Копия 06.04.2016 16:20:53 Ермолаева М.Г.), 000035761	Утвержден			
РП дисциплины "Экономика" (Копия 20.05.2015 23:20:01 Ермолаева М.Г.) (Копия 24.06.2015 1:08:36 Ермолаева М.Г.), 000024739	Утвержден			
Экономика отрасли	Кафедра 502			
РП дисциплины "Экономика отрасли" специалитет , 000057351	Утвержден			
Эксплуатационная практика	Кафедра 305			
Лист переутверждения по "РП практики "Эксплуатационная практика" (24.05.06 - 2015/16)", 000038473	Утвержден			
Электроника	Кафедра 306			
Лист переутверждения по "РП дисциплины "Электроника"" (2015/16), 000029726	Утвержден			
Электрооборудование летательных апппаратов	Кафедра 310			
Лист переутверждения по "РП дисциплины "Электрооборудование летательных апппаратов"" (2015/16), 000016347	Утвержден			
РП дисциплины "Электрооборудование летательных аппаратов"  , 000030950	Утвержден			
Язык программирования C++	Кафедра 303			
Лист переутверждения по "РП дисциплины "Язык программирования С++" 161101 2014/2015" (2015/16), 000016127	Утвержден			
Языки программирования	Кафедра 303			
Лист переутверждения по "РП дисциплины "Языки программирования" 24.05.06 2014/2015" (2015/16), 000031877	Утвержден			
УП очного специалитета по 24.05.06 (2015/16) "Управляющие пилотажно-навигационные комплексы"	Отправлен на согласование	76	75	000011980
Алгоритмические языки и программирование	Кафедра 305			
Лист переутверждения по "РП дисциплины "Алгоритмические языки и программирование"" (2015/16), 000021905	Утвержден			
Аппаратное обеспечение пилотажно-навигационных комплексов	Кафедра 305			
Лист переутверждения по "РПД "Аппаратное обеспечение пилотажно-навигационных комплексов"" (2015/16), 000030718	Утвержден			
Безопасность жизнедеятельности	Кафедра 614			
Лист переутверждения по "РП дисциплины "Безопасность жизнедеятельности" (каф 305 2й профиль  спец-т Кабанов А.С.)  " (2015/16), 000016723	Утвержден			
Введение в специальность	Кафедра 305			
Лист переутверждения по "РПД "Введение в специальность" " (2015/16), 000015795	Утвержден			
Воздушная навигация и самолетовождение	Кафедра 305			
Лист переутверждения по "РПД "Воздушная навигация и самолетовождение"" (2015/16), 000021224	Утвержден			
Гироскопические приборы	Кафедра 305			
Лист переутверждения по "РПД "Гироскопические приборы" " (2015/16), 000020002	Утвержден			
Гироскопические системы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Гироскопические системы" " (2015/16), 000022408	Утвержден			
Гироскопические стабилизаторы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Гироскопические стабилизаторы" " (2015/16), 000022416	Утвержден			
Динамика полета воздушных и космических летательных аппаратов	Кафедра 301			
Лист переутверждения по "РП дисциплины "Динамика полета воздушных и космических летательных аппаратов" (очн. спец. 24.05.06.С12 каф. 305)" (2015/16), 000023231	Утвержден			
Дифференциальные уравнения	Кафедра 804			
Лист переутверждения по "РП дисциплины "Дифференциальные уравнения" для очного специалитета по направлению 24.05.06 2014/15" (2015/16), 000029539	Утвержден			
Инерциальные навигационные системы	Кафедра 305			
Лист переутверждения по "РП дисциплины "Инерциальные навигационные системы" " (2015/16), 000047226	Утвержден			
Инженерная и компьютерная графика	Кафедра 904			
Лист переутверждения по "РП дисциплины "Инженерная и компьютерная графика" (специалитет)  Кожухова Е.А. (Копия 07.07.2015 13:49:07 Кожухова Е.А.)" (20, 000015430	Утвержден			
Иностранный язык-1	Кафедра И-12			
Лист переутверждения по "РП дисциплины "Иностранный язык-1" (очн.спец. "Управляющие пилотажно-навигационные комплексы"  (каф. 305))" (2015/16), 000022012	Утвержден			
Иностранный язык-2	Кафедра И-12			
Лист переутверждения по "РП дисциплины "Иностранный язык-2" (оч.спец."Управляющие пилотажно-навигационные комплексы" каф.305)" (2015/16), 000024745	Утвержден			
Информатика	Кафедра 305			
Лист переутверждения по "РП дисциплины "Информатика" разр.каф. 304 (24.05.06,2015/16), 000023950	Утвержден			
РП дисциплины "Информатика", 000035735	Утвержден			
Испытания измерительно-управляющих комплексов и их элементов	Кафедра 308			
РП дисциплины "Испытания измерительно-управляющих комплексов и их элементов" (Копия 28.06.2018 19:20:02 Склеймин Ю.Б.), 000096392	Утвержден			
Испытания приборов и систем	Кафедра 305			
Лист переутверждения по "РПД "Испытания приборов и систем"    " (2015/16), 000021620	Утвержден			
История	Кафедра 518			
РП дисциплины "История", 000040206	Утвержден			
История культуры	Кафедра 518			
РП дисциплины "История культуры", 000080907	Утвержден			
Культурология	Кафедра 518			
Лист переутверждения по "РП дисциплины "Культурология" УП очного специалитета по 24.05.06 "Системы управления движением летательных аппаратов"  (каф. , 000026070	Утвержден			
Лист переутверждения по "РП дисциплины "Культурология" УП очного специалитета по 24.05.06 "Управляющие пилотажно-навгационные комплексы"  (каф. 305) ", 000026077	Отправлен на доработку			
Линейная алгебра и аналитическая геометрия	Кафедра 804			
РП дисциплины Линейная алгебра (24.05.06, 2015/16 уч. год), 000074396	Утвержден			
Математические методы оптимизации в приборах и измерительных системах	Кафедра 305			
РПД "Математические методы оптимизации в измерительных приборах и системах"  , 000037766	Утвержден			
Математический анализ	Кафедра 804			
Лист переутверждения по "РП дисциплины "Математический анализ" для специалитета на 10 з.е. 24.05.06 2014/15 " (2015/16), 000029937	Утвержден			
Материаловедение	Кафедра 903			
Лист переутверждения по "РП дисциплины "Материаловедение"  " (2015/16), 000045410	Утвержден			
Методы оптимизации в измерительно-управляющих системах и комплексах	Кафедра 305			
Лист переутверждения по "РПД "Методы оптимизации в измерительно-управляющих системах и комплексах"" (2015/16), 000021229	Утвержден			
Метрология, стандартизация и сертификация	Кафедра 305			
Лист переутверждения по "Метрология, стандартизация и сертификация (Копия 03.04.2017 11:33:52 Мельников В.Е.)" (2015/16), 000045857	Утвержден			
Лист переутверждения по "РП дисциплины "Метрология, стандартизация и сертификация"" (2015/16), 000037947	Утвержден			
Микропроцессорная техника в приборах, системах и комплексах	Кафедра 305			
Лист переутверждения по "РПД "Микропроцессорная техника в приборах, системах и комплексах" " (2015/16), 000021594	Утвержден			
Моделирование систем	Кафедра 305			
РПД "Моделирование систем" (2015/2016), 000102962	Утвержден			
Надежность и техническая диагностика сложных систем	Кафедра 305			
Лист переутверждения по "РПД "Надежность и техническая диагностика сложных систем" " (2015/16), 000021033	Утвержден			
Основы автоматизированного проектирования	Кафедра 305			
РП дисциплины "Основы автоматизированного проектирования" (24.05.06.С12), 000103287	Утвержден			
Основы конструирования приборов	Кафедра 305			
Лист переутверждения по "Основы конструирования приборов (Копия 11.06.2018 11:50:28 Мельников В.Е.)" (2015/16), 000043773	Утвержден			
РП дисциплины "Основы конструирования приборов" (очного специалитета по 161101) (Копия 12.12.2015 17:18:45 Невчеснюк Л.А.) (Копия 21.11.2017 13:49:47 , 000063409	Утвержден			
Основы менеджмента	Кафедра 315			
РП дисциплины "Основы менеджмента" 26.05.06 (2015/16)  каф. 506, 000034984	Утвержден			
Основы прикладной гидро- и аэродинамики	Кафедра 602			
Лист переутверждения по "РП дисциплины "Основы прикладной гидро- и аэродинамики" " (2015/16), 000016001	Утвержден			
Основы теории пилотажно-навигационных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Основы теории пилотажно-навигационных систем"" (2015/16), 000018480	Утвержден			
Основы теории управления	Кафедра 301			
Лист переутверждения по "РП дисциплины "Основы теории управления"" (2015/16), 000019248	Утвержден			
Пилотажно-навигационные комплексы летательных аппаратов	Кафедра 305			
Нет РПД,				
Политика и право	Кафедра 517			
Лист переутверждения по "РП дисциплины "Политика и право" " (2015/16), 000019383	Утвержден			
Политология	Кафедра 517			
Лист переутверждения по "РП дисциплины "Политология"  " (2015/16), 000019381	Утвержден			
Правоведение	Кафедра 517			
Лист переутверждения по "РП дисциплины "Правоведение"  " (2015/16), 000019382	Утвержден			
Преддипломная практика	Кафедра 305			
РП практики "Преддипломная практика", 000038465	Утвержден			
Приборы и датчики высотно- скоростных параметров	Кафедра 305			
РП дисциплины "Приборы и датчики высотно- скоростных параметров"  13.10.2015 20:01:50 Захарян Р.Р.), 000055040	Утвержден			
Приборы и датчики навигационных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Приборы и датчики навигационных систем" (Каф 305) " (2015/16), 000021628	Утвержден			
Программно-алгоритмическое обеспечение пилотажно-навигационных комплексов летательных аппаратов	Кафедра 305			
Лист переутверждения по "РПД "Программно-алгоритмическое обеспечение пилотажно-навигационных комплексов"" (2015/16), 000022046	Утвержден			
Производственная практика	Кафедра 305			
Лист переутверждения по "РП практики "Производственная практика" (Каф.305)" (2015/16), 000021050	Утвержден			
Производственно-технологическая практика	Кафедра 307			
РП практики "Производственно-технологическая практика", 000035272	Утвержден			
Системы автоматического управления воздушными летательными аппаратами	Кафедра 301			
Лист переутверждения по "РП дисциплины "Системы автоматического управления воздушными летательными аппаратами" (Копия 13.09.2015 17:26:29 Березуев А.В, 000023334	Утвержден			
Системы автоматического управления космическими летательными аппаратами	Кафедра 305			
Лист переутверждения по "РП дисциплины "Системы автоматического управления космическими летательными аппаратами" " (2015/16), 000021957	Утвержден			
Системы аналитических вычислений	Кафедра 305			
Лист переутверждения по "РПД "Системы аналитических вычислений" " (2015/16), 000020040	Утвержден			
Системы компьютерных вычислений	Кафедра 305			
Лист переутверждения по "РПД дисциплины "Системы компьютерных вычислений"  " (2015/16), 000020041	Утвержден			
Случайные процессы и статистические технологии	Кафедра 305			
Лист переутверждения по "РПД "Случайные процессы и статистические технологии"" (2015/16), 000021225	Утвержден			
Социология	Кафедра 009			
Лист переутверждения по "РП дисциплины "Социология" (очная) (Копия 16.07.2015 12:38:54 Царицинская Т.Г.) (Копия 25.08.2015 14:17:52 Царицинская Т.Г.) , 000016035	Утвержден			
РП дисциплины "Социология" (очная), 000034414	Утвержден			
Специальные задачи проектирования навигационных систем и комплексов	Кафедра 305			
Лист переутверждения по "РП дисциплины "Специальные задачи проектирования навигационных систем и комплексов " " (2015/16), 000047806	Утвержден			
Спутниковые и радиотехнические навигационные системы	Кафедра 305			
Лист переутверждения по "РПД "Спутниковые и радиотехнические навигационные системы"" (2015/16), 000021036	Утвержден			
Теоретическая механика	Кафедра 802			
Лист переутверждения по "РП дисциплины "Теоретическая механика" очного специалитета по 24.05.06 (2014/15)" (2015/16), 000033379	Утвержден			
Теоретические основы электротехники и электроизмерений	Кафедра 309			
Лист переутверждения по "РП дисциплины "Теоретические основы электротехники и электроизмерений" (Копия 22.12.2012 15:58:10 Ковзан А.А.) (Копия 20.01.2, 000019223	Утвержден			
Теория вероятностей и математическая статистика	Кафедра 302			
Лист переутверждения по "РП дисциплины "Теория вероятностей и математическая статистика"" (2015/16), 000021355	Утвержден			
Теория случайных процессов	Кафедра 305			
Лист переутверждения по "РПД "Теория случайных процессов"" (2015/16), 000021228	Утвержден			
Теория функций комплексного переменного	Кафедра 804			
Лист переутверждения по "РП дисциплины "Теория функций комплексного переменного", 3 з.е. 24.05.06. 2014/15" (2015/16), 000030467	Утвержден			
Техническая эксплуатация сложных систем	Кафедра 305			
Лист переутверждения по "РП дисциплины "Техническая эксплуатация сложных систем"" (2015/16), 000021045	Утвержден			
Технология приборостроения	Кафедра 307			
РП дисциплины "Технология приборостроения" (Копия 01.04.2016 13:59:36 Хайрнасов К.З.), 000035382	Утвержден			
УИРС	Кафедра 305			
Лист переутверждения по "РП дисциплины "УИРС"  (Каф.305)" (2015/16), 000021059	Утвержден			
Учебная практика	Кафедра 305			
Лист переутверждения по "РП практики "Учебная практика" (Каф 305)" (2015/16), 000021061	Утвержден			
Физика	Кафедра 801			
РП дисциплины "Физика" (специалитет 24.05.06)  , 000068847	Утвержден			
Физико-теоретические основы элементов и систем управления движением	Кафедра 305			
Лист переутверждения по "РП дисциплины "Физико-теоретические основы элементов и систем управления движением 123" (2015/16), 000022527	Утвержден			
Физическая культура (спортивные секции)	Кафедра 519			
Лист переутверждения по "РП дисциплины "Физическая культура"" (2015/16), 000048390	Утвержден			
Философия	Кафедра 517			
Лист переутверждения по "РП дисциплины "Философия"  очного специалитета по 24.05.06 "Системы управления движением летательных аппаратов"  (каф. 301)" , 000018635	Утвержден			
Химия	Кафедра 908			
Лист переутверждения по "РП дисциплины "Химия" очного специалитета по 24.05.06 (2014/15)" (2015/16), 000017028	Утвержден			
Цифровые измерительно-управляющие системы	Кафедра 305			
РП дисциплины "Цифровые измерительно-управляющие системы" , 000037452	Утвержден			
Численные методы	Кафедра 804			
Лист переутверждения по "РП дисциплины "Численные методы" для бакалавриата по направлению 24.05.06 2014/15" (2015/16), 000029869	Утвержден			
Экология	Кафедра 301			
Лист переутверждения по "РП дисциплины "Экология" (очн. спец. 24.05.06 каф. 301)" (2015/16), 000014237	Утвержден			
Экономика	Кафедра 507			
РП дисциплины "Экономика" (Копия 06.04.2016 16:39:10 Ермолаева М.Г.), 000035772	Утвержден			
РП дисциплины "Экономика" (Копия 20.05.2015 23:20:01 Ермолаева М.Г.) (Копия 24.06.2015 1:08:36 Ермолаева М.Г.), 000024739	Утвержден			
Экономика отрасли	Кафедра 502			
РП дисциплины "Экономика отрасли" специалитет , 000057351	Утвержден			
Эксплуатационная практика	Кафедра 305			
Лист переутверждения по "РП практики "Эксплуатационная практика"" (2015/16), 000019394	Утвержден			
Электроника	Кафедра 305			
Лист переутверждения по "РП дисциплины "Электроника"" (2015/16), 000019769	Утвержден			
Электрооборудование летательных апппаратов	Кафедра 310			
Лист переутверждения по "РП дисциплины "Электрооборудование летательных апппаратов"" (2015/16), 000016347	Утвержден			
РП дисциплины "Электрооборудование летательных аппаратов", 000030952	Утвержден			
Элементы навигационных приборов и систем	Кафедра 305			
Лист переутверждения по "РПД  дисциплины "Элементы приборов и систем ориентации и навигации"    (Копия 29.04.2016 11:06:00 Мельников В.Е.)" (2015/16), 000021633	Утвержден			
РП дисциплины "Элементы приборов и систем ориентации и навигации"  (Копия 11.04.2016 13:16:35 Мельников В.Е.), 000036182	В архиве			
УП очной аспирантуры по 12.06.01 (05.11.03 Приборы навигации) (15/16) 305	В архиве	16	0	000014638
Государственный экзамен	Кафедра 305			
Нет РПД,				
Датчики первичной навигационной информации	Кафедра 305			
Нет РПД,				
Иностранный язык (аспирантура)	Кафедра И-12			
Нет РПД,				
История и философия науки	Кафедра 517			
Нет РПД,				
Комплексирование измерительно-управляющих навигационных приборов и систем	Кафедра 305			
Нет РПД,				
Методы математического моделирования	Кафедра 604			
Нет РПД,				
Метрология, испытания и надежность навигационных приборов	Кафедра 305			
Нет РПД,				
Научно-исследовательская деятельность и подготовка научно-квалификационной работы (диссертации)	Кафедра 305			
Нет РПД,				
Научно-исследовательская практика	Кафедра 305			
Нет РПД,				
Новые информационные технологии в пилотажно-навигационных комплексах	Кафедра 305			
Нет РПД,				
Основы подготовки диссертации	Кафедра 301			
Нет РПД,				
Педагогическая практика	Кафедра 305			
Нет РПД,				
Представление научного доклада об основных результатах подготовленной научно-квалификационной работы (диссертации)	Кафедра 305			
